County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
11001,District of Columbia,4.4,2.5,58,0.08,0.066,10,4,26,11.6,40
12001,"Alachua County, FL",.,.,.,0.07,0.062,.,.,17,6.9,.
12003,"Baker County, FL",.,.,.,0.07,0.059,.,.,.,.,.
12005,"Bay County, FL",.,.,.,0.07,0.063,.,.,.,.,.
12009,"Brevard County, FL",.,.,.,0.07,0.063,.,.,21,5.8,54
12011,"Broward County, FL",1.8,1.4,42,0.08,0.06,3,1,16,8,41
12017,"Citrus County, FL",.,.,.,.,.,5,1,16,6.7,.
12021,"Collier County, FL",.,.,.,0.07,0.061,.,.,.,.,.
12023,"Columbia County, FL",.,.,.,0.07,0.059,.,.,.,.,.
12031,"Duval County, FL",1.6,1.1,38,0.08,0.06,24,5,17,7.2,47
12033,"Escambia County, FL",.,.,.,0.08,0.066,29,5,16,7.5,.
12035,"Flagler County, FL",.,.,.,0.07,0.061,.,.,.,.,.
12047,"Hamilton County, FL",.,.,.,.,.,26,6,.,.,.
12055,"Highlands County, FL",.,.,.,0.07,0.061,.,.,.,.,.
12057,"Hillsborough County, FL",0.8,0.4,32,0.08,0.07,68,15,15,6.8,49
12059,"Holmes County, FL",.,.,.,0.07,0.06,.,.,.,.,.
12061,"Indian River County, FL",.,.,.,0.07,0.063,.,.,.,.,.
12069,"Lake County, FL",.,.,.,0.08,0.063,.,.,.,.,.
12071,"Lee County, FL",.,.,.,0.07,0.066,.,.,15,5.9,49
12073,"Leon County, FL",.,.,.,0.08,0.062,.,.,23,8.1,.
12077,"Liberty County, FL",.,.,.,0.07,0.057,.,.,.,.,.
12081,"Manatee County, FL",.,.,.,0.08,0.067,17,2,.,.,.
12083,"Marion County, FL",.,.,.,0.07,0.061,.,.,.,.,.
12086,"Miami-Dade County, FL",1.5,1,44,0.08,0.068,1,0,16,6.8,62
12089,"Nassau County, FL",.,.,.,.,.,60,14,.,.,.
12091,"Okaloosa County, FL",.,.,.,0.07,0.062,.,.,.,.,37
12095,"Orange County, FL",1.1,1,34,0.09,0.064,3,0,14,5.7,24
12097,"Osceola County, FL",.,.,.,0.07,0.065,.,.,.,.,.
12099,"Palm Beach County, FL",.,.,38,0.07,0.061,.,.,12,5.3,61
12101,"Pasco County, FL",.,.,.,0.07,0.068,.,.,.,.,.
12103,"Pinellas County, FL",1.5,0.9,34,0.08,0.067,19,3,16,6.3,33
12105,"Polk County, FL",.,.,.,0.08,0.064,31,4,13,6.6,52
12107,"Putnam County, FL",.,.,.,.,.,27,5,.,.,54
12113,"Santa Rosa County, FL",.,.,.,0.08,0.065,.,.,.,.,.
